語詞,解釋
地球,行星名。距離太陽第三近的行星，有一顆衛星（月球）。最大的類地行星，形狀呈橢圓形。人類與其他生物居住於此，是太陽系中最適合生命居住的天體，表面大部分由海洋覆蓋，有板塊活動。　◎
漁夫,以捕魚維生的男子。[例]漁夫將捕來的魚獲賣給魚販，以賺取所需。
夫婦,夫妻。
水藻,植物名。小二仙草科狐尾藻屬。「聚藻」之俗稱，參見「聚藻」條。
恩情,恩惠、深厚的情義。[例]父親至今仍不忘當年同袍冒死搭救的恩情。
回報,1.報告或答覆事情的處理情形。[例]警察以無線電向總局回報火災灌救現場的最新狀況。
波濤,1.大波浪。[例]颱風來襲時，海面上波濤洶湧，猶如萬馬奔騰。
風暴,1.暴風雨、大風大雨。[例]本地剛遭到風暴的侵襲，損失慘重。
僕人,舊時指被僱用至家裡，供使喚做雜務的人。[例]那位員外富甲一方，家中僕人著實不少。
無聊,1.煩悶、精神空虛，沒有依賴寄託。[例]周而復始，一成不變的生活常會令人感到人生很無聊。
轟隆,狀聲詞。形容打雷、爆炸、機器運轉等發出的巨大聲響。[例]工人用火藥炸開山壁，發出轟隆巨響。
老虎,→虎1.
布幕,1.垂掛用的布幔。如：「舞臺上的布幕一拉開，戲就開始上演了。」《警世通言．卷二八．白娘子永鎮雷峰塔》：「許宣轉到裡面，只見：四扇暗槅子窗，揭起青布幕，一個坐起。」
不夠,不足，未達到所需求的標準。[例]這次活動因經費不夠而被迫取消。
威風,1.令人敬畏的氣勢。[例]長他人志氣，滅自己威風。
晚餐,晚間用的正餐。[例]他們家的晚餐時間通常是在七點左右。
道理,1.事情的真理、法則。[例]我們可以從工作中學得做人做事的道理。
獵人,以狩獵為業的人。[例]他的槍法準、反應快，是一個相當出色的獵人。
胃口,1.食欲。[例]他的病剛痊癒，所以胃口不是很好。
逃跑,逃亡、逃走。[例]車禍發生之後，肇事者竟駕車逃跑，棄傷患於不顧，真是泯滅天良。
村民,鄉村、村落的居民。[例]村民不分男女老幼，都前來參加一年一度的迎神廟會。
驚慌失措,驚嚇慌張得不知如何應付。[例]小男孩因為與父母走散了而顯得驚慌失措。
歌謠,民間歌曲或通俗歌曲。[例]兒童歌謠、鄉土歌謠
提醒,從旁提示或指點，使人注意。[例]多虧你提醒，我才沒錯過今天的會議。
老伯,對年老男性長者的尊稱。[例]這位老伯平日喜歡運動，雖然年過七十，身體還很硬朗。
跌跤,1.跌倒摔跤。[例]天雨路滑，小心別跌跤了！
千萬,1.數目的名稱。在百萬之上，億之下。[例]一千萬
糟糕,指事情或情況很壞。[例]火車快開了，他若趕不上就糟糕了。
唉聲嘆氣,因煩悶、傷感等而嘆息。[例]眼看這個假期因下雨而泡湯，他不禁唉聲嘆氣。
毫無,一點也沒有。[例]毫無限制地砍伐森林會造成地球環境惡化。
游泳,一種體育運動。為人在水中靠自力漂浮，並以各種不同姿勢划水前進的水中運動。常用的游姿有捷泳、蛙泳、蝶泳、仰泳等。[例]游泳之前，應先做暖身體操。　◎
一般,1.同樣、同等。[例]他們兩人年紀相同，長得也一般高。
多采多姿,形容姿態多樣，色彩迷人。後引申為內容豐富華麗，且變化多端。[例]他的生涯多采多姿，令人羨慕！
滑行,滑動前進。[例]他喜歡溜冰時那種任意滑行的快感。
遨遊,逍遙自在的遊歷玩賞。[例]人類羨慕小鳥自由的在天空中遨遊，於是有了飛機的發明。
緩緩,緩慢、慢慢。[例]國旗緩緩上升，在藍空中飄揚。
陀螺,一種木頭製的圓錐形玩具。下端有鐵尖，圍繞上繩子後，急甩出去，落地後就能在地上直立旋轉。[例]王先生是玩大陀螺的能手，每次表演，總吸引大批人潮圍觀。　◎
轉身,回轉身軀。[例]他把事情交代完畢後，一轉身就離開學校了。
水陸,1.水路與陸路。《文選．左思．蜀都賦》：「水陸所湊，兼六合而交會焉。」《三國演義》第一五回：「策分兵水陸並進，圍住吳城。」
煩惱,1.情緒愁悶而不快活。[例]令人煩惱的事情難免，我們得看開點！
招招手,揮動手，表招呼或示意前來。如：「如果需要，請招招手，我們隨即就來支援。」
食糧,泛指一切米穀及食物。[例]農業生產技術不斷改良進步，食糧短缺的情事已鮮有所聞。
姐姐,稱謂：(1) 稱同父母所生而比自己年長的女性。[例]從小我就跟姐姐感情很好，無話不談。　(2) 稱同輩親屬中比自己年長的女性。　(3) 對一般比自己年長女性的尊稱。
爭吵,爭鬥吵鬧。[例]寬容與體諒是避免爭吵的不二法門。
警察,依法以維持公共秩序、保護社會安寧、促進人民福利為主要任務的人。[例]警察打擊犯罪，保護民眾安全，可說是人民的保母。
小偷,竊賊。[例]他們合力抓住小偷，將其扭送警局。
跳繩,1.一種民俗體育運動。為一種跳越繩子的運動或遊戲。通常是把繩子掄成圓圈，人趁繩子近地時跳過去。有單腳跳、雙腳跳、交叉跳、轉身跳等多種花樣。[例]花式跳繩不僅能訓練靈活的身手，同時也能考驗團隊之間的默契。
依依不捨,非常留戀、捨不得。[例]直到寒假結束，我們才依依不捨的辭別外婆，回家準備開學。
結束,終結、了結。[例]雙方因實力相差懸殊，因此比賽在七局上半場便提前結束。
暫停,進行中作短時間的中止。[例]比賽中藍隊的教練要求更換球員而使比賽暫停。
邀約,邀請、約請。[例]星期日的義賣活動，請各位同學邀約家人、朋友來共襄盛舉。
遙不可及,距離遙遠無法到達或形容沒有希望。[例]科技的日新月異，使得人類探索宇宙的夢想不再是遙不可及了。
熟能生巧,熟練了自然能領悟出竅門。[例]所謂「熟能生巧」，只要肯勤加練習，對於這部機器就能操作自如了。
反彈,1.物理學上指作用力施於物體的同一時間，必產生相等而相反的動量，稱為「反彈」。[例]壁球是利用反彈原理研發而成的運動項目。
不曾,從不。[例]雖然責任相當重，但他卻不曾埋怨過。
指揮,1.發號施令，指示別人行動。[例]警察在十字路口指揮交通，以維持交通的順暢。
此起彼落,這裡起來，那裡落下。形容連續不斷。[例]過年時鞭炮聲此起彼落，好不熱鬧。
喧鬧,喧譁吵鬧。[例]為了避免抗議隊伍喧鬧滋事，部長決定接見部分代表。
優美,良好、美妙。[例]此地山明水秀，風景優美，值得一遊。
弧線,彎曲如弓的線條。[例]雨後的彩虹呈弧線掛在天邊，美麗極了。
馬偕,馬偕(1844~1901)為加拿大基督教長老會遣派來臺灣的傳教士；一八七二年，馬偕由加拿大，經廈門轉來臺灣北部淡水，開始他為時二十九年之久的宣教工作。馬偕為加拿大長老會派往國外宣教的第一位傳教士，他在臺灣北部與東北部宣教，所面對的有閩南族群、客家族群、平埔族群、原住民族群，馬偕均能應付自如，共建立了六十所教會，以致被推許為舉世罕有的偉大傳教士之一。馬偕採多元化的傳教策略，創立神學院，以培養本土的教會人才。又利用醫療方式，接近民眾，馬偕本人不是醫生，但他受有豐富的醫學知識，因此每在外地傳道旅行時，帶著一些常用的西藥，醫治各類的疾病，這在無形中拉近了雙方的距離，十分有助於基督教的傳播。此外而馬...
醫院,診治或看護病人的機構。[例]身體有了病痛，最好立刻上醫院去看醫生。
生命,1.生物生存的壽命。[例]生命是很可貴的，應該好好珍惜。
奉獻,恭敬的交付、貢獻。[例]他將畢生的心力奉獻給教育事業。
醫療,醫治療養。[例]經過多日悉心的醫療，她的病日漸痊癒了。
衛生,1.預防疾病，追求健康的觀念和措施。[例]維護公共衛生，人人有責。
藥品,可以用來防治疾病的物質。[例]這些藥品經檢驗合格，患者可以安心服用。
治病,醫療疾病。[例]醫生治病，常需精密的儀器輔助。
翻山越嶺,形容長途跋涉、旅途辛苦。[例]登山隊在翻山越嶺、長途跋涉之後，終於攀登上主峰的山頂。
捐錢,捐獻金錢。如：「他慨慷解囊，捐錢助救貧苦的孤兒。」《文明小史》第三二回：「我想我們濰縣，富商也還不少，他們歷年往城隍廟裡捐錢賽會，一年何止千金？」
食宿,飲食和住宿。[例]他到歐洲旅遊，食宿都請旅行社代為安排。
學堂,古代學生受教育的場所，相當於現今的學校。[例]王冕幼時喪父，全靠母親做些針線，才能供他到村裡的學堂讀書。
濃濃,濃厚、盛多的樣子。如：「濃濃情意」。《詩經．小雅．蓼蕭》：「蓼彼蕭斯，零露濃濃。」
海倫‧凱勒,海倫‧凱勒(1880~1968)是一位美國殘障教育家；一八八○年出生於美國阿拉巴馬州，一歲半時，由於胃與腦急性充血引發腹痛，接著喪失了視覺與聽覺。這一場無情的病魔摧殘，造成她盲、聾、啞三重障礙，幸遇其師梅西(A. Sullivan Macy)夫人（又稱蘇利文女士）之教育，並施予溫情與鼓舞，讓海倫凱勒得以克服這些困難，發現人生光明面。她憑觸覺接受蘇利文女士之教育，同時由於配合應用一種特殊打字機而能夠閱讀。一八九○年，師隨波士頓何瑞斯曼盲啞學校校長富勒女士(Sarah Fuller)，學習觸讀法與發音；其後，又在紐約的萊特哈瑪特聾啞學校進修，一九○○年進入哈佛大學的雷德克里夫學院，四年後獲學士...
學業,學習的課業。[例]由於家境清寒，他以半工半讀的方式完成學業。
勵志,激勵奮發向上的心志。[例]勵志小品
寧靜,安靜、平和。[例]走在寧靜的街道上，晚風徐徐吹來，舒服極了。
視力,眼力。常人在一定距離內，眼睛辨識事物的能力。[例]他經常在行駛中的公共汽車上看書，視力會因而受損。
注意,關注留意。[例]過馬路時，必須小心注意兩方來車。
單憑,只憑藉。如：「你怎麼能單憑別人的三言兩語，就認定他是小偷呢？」
蓓蕾,1.含苞未開的花。[例]花園裡含苞待放的蓓蕾，讓人滿心期待。
任何,無論什麼。[例]任何原因、任何理由
地毯,鋪在地面上的毯子，多為毛織物，亦有用棉、麻等質料製成。[例]這張色彩鮮麗的地毯，將大廳襯得華麗無比。
舒適,舒服安適。[例]父母辛苦的工作，是為了使我們的生活更舒適。
五彩繽紛,形容色彩繁多，鮮豔絢麗。[例]天空中五彩繽紛的煙火，令人目不暇給。
盡力,竭力。[例]凡事盡力就好，不要太在意結果了。
開朗,1.明亮、開闊。[例]一眨眼之間，太陽已升上山頭，天色豁然開朗。
母親,1.稱謂。對媽媽的稱呼。[例]最難報答母親恩，母親恩情海樣深。　◎
冷酷,對人冷漠、毫無感情。[例]面對親人的過世，他一點也不悲傷難過，真是個冷酷無情的人。
磨練,鍛鍊、考驗。[例]磨練心志
攀登,用手抓住東西往上爬。[例]他攀登過很多有名的山峰。
訓練,經由有計畫、步驟的指導，並實地操作練習，使受訓者具有某種特長或技能。[例]這隻狗經訓練之後，成為非常優秀的導盲犬。
谷底,1.山谷的底部。[例]谷底有一條清澈的小溪，最適宜人們垂釣、戲水。
咖哩,用胡椒、薑黃、番椒、茴香、陳皮等的粉末製成的調味品。色黃、味香而辛辣，以印度所產最為著名。§英curry[例]媽媽用咖哩做了一道色香味美的燴飯。　△咖喱
印度,國名。位於亞洲南部，介於孟加拉灣與阿拉伯海之間。參見「印度共和國」條。
甩餅,印度甩餅，是馬來西亞印度裔發明的食物。做法是將和好的小片麵皮，多次旋轉向上拋甩，形成大而薄的圓餅，再放到鍋上烙熟。[例]每次去吃印度料理，一口甩餅一口咖哩，美味極了。
